time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,precipitation
2026-08-19T00:00,14.9,28.9,174.0,8.5,4.6,38.0,27.0,81,1002.7,13.5,0.0
2026-08-19T01:00,14.0,27.9,142.0,7.0,4.2,38.0,26.8,82,1002.5,12.8,0.0
2026-08-19T02:00,13.2,26.1,119.0,5.8,3.9,39.0,26.7,82,1002.0,13.2,0.0
2026-08-19T03:00,12.6,25.1,108.0,5.1,3.9,39.0,26.7,83,1001.8,13.0,0.0
2026-08-19T04:00,12.0,23.5,106.0,4.8,4.0,39.0,26.6,84,1001.6,13.2,0.0
2026-08-19T05:00,12.9,25.5,119.0,4.7,4.2,42.0,26.7,86,1001.6,13.6,0.0
2026-08-19T06:00,12.3,23.3,163.0,6.1,4.5,41.0,26.6,84,1001.6,12.6,0.0
2026-08-19T07:00,12.7,22.8,222.0,8.1,4.8,40.0,27.0,81,1002.1,11.7,0.0
2026-08-19T08:00,15.1,28.3,258.0,9.0,5.0,41.0,28.2,75,1002.4,17.4,0.0
2026-08-19T09:00,16.8,32.9,246.0,8.0,5.0,46.0,29.3,69,1002.9,16.9,0.0
2026-08-19T10:00,16.2,32.0,210.0,5.9,4.8,53.0,30.6,63,1003.0,16.9,0.0
2026-08-19T11:00,16.1,32.6,183.0,4.3,4.6,59.0,30.9,61,1002.9,18.8,0.0
2026-08-19T12:00,16.4,33.9,178.0,3.5,4.5,62.0,31.6,58,1002.7,18.1,0.0
2026-08-19T13:00,16.6,34.1,183.0,3.2,4.4,64.0,31.8,58,1002.5,18.3,0.0
2026-08-19T14:00,16.9,34.6,191.0,3.4,4.3,64.0,31.1,61,1001.9,18.8,0.0
2026-08-19T15:00,16.9,33.5,206.0,4.2,4.2,60.0,31.4,60,1001.3,19.5,0.0
2026-08-19T16:00,17.2,33.2,225.0,5.6,4.1,53.0,30.2,66,1000.7,20.0,0.0
2026-08-19T17:00,17.8,33.9,236.0,7.2,4.1,47.0,29.6,69,1000.7,18.8,0.1
2026-08-19T18:00,18.4,33.9,234.0,9.3,4.3,42.0,28.8,74,1001.0,18.8,0.2
2026-08-19T19:00,18.7,33.1,224.0,11.6,4.5,39.0,27.6,81,1001.7,16.8,0.1
2026-08-19T20:00,18.5,30.9,214.0,12.9,4.7,36.0,27.5,83,1002.6,16.1,0.3
2026-08-19T21:00,13.9,23.7,206.0,12.4,4.7,35.0,27.3,84,1003.3,15.5,0.3
2026-08-19T22:00,12.5,20.8,197.0,10.9,4.6,36.0,27.0,86,1003.4,15.5,0.1
2026-08-19T23:00,11.7,19.6,184.0,9.3,4.5,37.0,26.9,87,1003.8,13.2,0.0
2026-08-20T00:00,11.6,19.7,162.0,8.0,4.3,37.0,26.7,87,1003.5,12.2,0.0
2026-08-20T01:00,10.8,18.7,135.0,6.6,4.0,38.0,26.5,87,1002.9,13.8,0.0
2026-08-20T02:00,10.8,19.7,117.0,5.6,3.8,38.0,26.6,86,1002.3,13.7,0.0
2026-08-20T03:00,10.9,20.7,108.0,5.0,3.8,38.0,26.5,87,1001.5,14.2,0.0
2026-08-20T04:00,10.8,21.5,107.0,4.7,4.0,39.0,26.3,88,1001.3,12.7,0.0
2026-08-20T05:00,10.9,22.3,121.0,5.0,4.2,39.0,26.3,88,1001.3,11.9,0.0
2026-08-20T06:00,11.1,23.1,165.0,6.4,4.5,38.0,26.3,87,1001.9,11.0,0.0
2026-08-20T07:00,12.2,25.4,223.0,8.2,4.9,37.0,26.7,85,1002.5,10.3,0.0
2026-08-20T08:00,15.0,35.0,258.0,9.1,5.2,38.0,27.8,78,1002.6,16.0,0.0
2026-08-20T09:00,17.6,44.6,246.0,7.9,5.2,45.0,28.8,73,1002.5,16.9,0.1
2026-08-20T10:00,18.5,48.1,212.0,5.7,5.0,54.0,30.1,67,1002.6,16.9,0.0
2026-08-20T11:00,19.4,51.7,187.0,4.0,4.8,61.0,30.4,65,1002.5,16.3,0.0
2026-08-20T12:00,20.2,53.3,185.0,3.5,4.7,64.0,30.8,63,1002.3,15.6,0.0
2026-08-20T13:00,19.6,51.7,194.0,3.6,4.6,64.0,31.0,62,1001.8,14.4,0.0
